,cascade_root_id,cascade_id,time_bucket,depth,size,max_breadth,virality,strongly_cc,size_of_scc,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
76742,787490.0,76742.0,4034725.0,2.0,20.0,15.0,0.0763157894736842,20.0,20.0,0.05,1.3333333333333333,1.8079541091913336,1.444839601276325,0.0
65438,704943.0,65438.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
77936,809081.0,77936.0,4034725.0,3.0,18.0,12.0,0.1045751633986928,18.0,18.0,0.0555555555555555,1.4166666666666667,1.5784009252939692,1.0318672935828286,0.0
62375,694043.0,62375.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
67452,714462.0,67452.0,4034725.0,1.0,5.0,5.0,0.2,5.0,5.0,0.2,1.0,1.25,4.445556177931239,0.0
68428,720455.0,68428.0,4034725.0,1.0,7.0,7.0,0.1428571428571428,7.0,7.0,0.1428571428571428,1.0,1.4288690166235205,6.566261104483427,0.0
63532,697643.0,63532.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
70183,729466.0,70183.0,4034725.0,2.0,3.0,2.0,0.6666666666666666,3.0,3.0,0.3333333333333333,1.5,1.0606601717798214,1.8197849361681229,0.0
60780,689081.0,60780.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
80228,902723.0,80228.0,4034725.0,4.0,70.0,31.0,0.0401656314699793,70.0,70.0,0.0142857142857142,2.107142857142857,2.20103849770716,1.1105655254716371,0.0
65226,704072.0,65226.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
3911,4017500.0,86500.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
62435,694230.0,62435.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
77886,808008.0,77886.0,4034725.0,3.0,18.0,14.0,0.0915032679738562,18.0,18.0,0.0555555555555555,1.2142857142857142,1.7558601831293297,1.0115547186597778,0.0
6050,4022014.0,88639.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
64899,702726.0,64899.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
63011,696023.0,63011.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
5718,4021314.0,88307.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
69602,727658.0,69602.0,4034725.0,2.0,3.0,2.0,0.6666666666666666,3.0,3.0,0.3333333333333333,1.5,1.0606601717798214,1.8197849361681229,0.0
4,3843878.0,82593.0,4034735.0,4.0,1554.0,1308.0,0.0009136631802439,1554.0,1554.0,0.0006435006435006,1.154434250764526,16.600460003779155,0.5795387197987608,1.0
57137,680372.0,57137.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
74211,756672.0,74211.0,4034725.0,2.0,9.0,8.0,0.1388888888888889,9.0,9.0,0.1111111111111111,1.125,1.4523687548277813,0.9135735523927536,0.0
5411,4020667.0,88000.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
1429,4004885.0,84018.0,4034735.0,2.0,11.0,10.0,0.109090909090909,11.0,11.0,0.0909090909090909,1.1,1.6077935190813526,0.8386990417320732,1.0
4766,4019304.0,87355.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
286,3967908.0,82875.0,4034735.0,4.0,146.0,120.0,0.0112423240434577,146.0,146.0,0.0068493150684931,1.125,4.999881092521893,0.9094118903467676,1.0
58087,682377.0,58087.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
61244,690525.0,61244.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
5643,4021156.0,88232.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
2154,4010216.0,84743.0,4034735.0,1.0,10.0,10.0,0.1,10.0,10.0,0.1,1.0,1.6666666666666663,9.606711778092896,1.0
5305,4020441.0,87894.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
78368,819897.0,78368.0,4034725.0,3.0,25.0,21.0,0.0683333333333333,25.0,25.0,0.04,1.0476190476190477,2.1899787543363165,1.2645893558429473,0.0
81690,1180466.0,81690.0,4034725.0,4.0,492.0,421.0,0.0028728495024257,492.0,492.0,0.0020325203252032,1.1235154394299287,9.512324560723188,0.6456633834329576,0.0
80436,920315.0,80436.0,4034725.0,5.0,67.0,38.0,0.0391225689733152,67.0,67.0,0.0149253731343283,1.4473684210526316,2.467976720090587,1.0610480217436264,0.0
70056,729071.0,70056.0,4034725.0,2.0,3.0,2.0,0.6666666666666666,3.0,3.0,0.3333333333333333,1.5,1.0606601717798214,1.8197849361681229,0.0
76194,779948.0,76194.0,4034725.0,2.0,17.0,14.0,0.0808823529411764,17.0,17.0,0.0588235294117647,1.2142857142857142,1.7946317519201538,1.150632330540205,0.0
54471,674744.0,54471.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
60288,687550.0,60288.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
79413,855675.0,79413.0,4034725.0,2.0,63.0,51.0,0.0220174091141833,63.0,63.0,0.0158730158730158,1.2352941176470589,3.3112475053404435,1.2094209477326836,0.0
78982,837929.0,78982.0,4034725.0,2.0,51.0,48.0,0.0219607843137254,51.0,51.0,0.0196078431372549,1.0625,3.400999852984413,0.7074493044290056,0.0
52042,669617.0,52042.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
78694,828905.0,78694.0,4034725.0,3.0,30.0,22.0,0.0620689655172413,30.0,30.0,0.0333333333333333,1.2272727272727273,2.10316561130716,1.2834919176591282,0.0
61706,691962.0,61706.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
61741,692071.0,61741.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
54790,675417.0,54790.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
51402,668266.0,51402.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
52685,670973.0,52685.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
74793,762677.0,74793.0,4034725.0,2.0,11.0,10.0,0.109090909090909,11.0,11.0,0.0909090909090909,1.1,1.6077935190813526,0.8386990417320732,0.0
75628,772800.0,75628.0,4034725.0,3.0,4.0,2.0,0.8333333333333334,4.0,4.0,0.25,1.5,1.0540925533894598,2.1908982279662843,0.0
77540,800830.0,77540.0,4034725.0,2.0,28.0,26.0,0.041005291005291,28.0,28.0,0.0357142857142857,1.0769230769230769,2.513611777919578,0.7581650586584457,0.0
72557,743976.0,72557.0,4034725.0,2.0,6.0,5.0,0.2333333333333333,6.0,6.0,0.1666666666666666,1.2,1.2,1.1272434476690016,0.0
75260,768271.0,75260.0,4034725.0,2.0,13.0,12.0,0.0897435897435897,13.0,13.0,0.0769230769230769,1.0833333333333333,1.7519830034690531,0.7759942123102429,0.0
52670,670942.0,52670.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
70318,730216.0,70318.0,4034725.0,1.0,9.0,9.0,0.1111111111111111,9.0,9.0,0.1111111111111111,1.0,1.590990257669732,8.601151338313896,0.0
73391,749668.0,73391.0,4034725.0,2.0,7.0,6.0,0.1904761904761904,7.0,7.0,0.1428571428571428,1.1666666666666667,1.2856040517117926,1.0246281744283177,0.0
56960,679998.0,56960.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
746,3994343.0,83335.0,4034735.0,2.0,36.0,34.0,0.0309523809523809,36.0,36.0,0.0277777777777777,1.0588235294117647,2.8813262252522764,0.68845411035653,1.0
72506,743665.0,72506.0,4034725.0,2.0,6.0,5.0,0.2333333333333333,6.0,6.0,0.1666666666666666,1.2,1.2,1.1272434476690016,0.0
73568,751170.0,73568.0,4034725.0,2.0,7.0,4.0,0.2857142857142857,7.0,7.0,0.1428571428571428,1.75,1.20761472884912,2.364634266116017,0.0
80867,970068.0,80867.0,4034725.0,4.0,144.0,78.0,0.0199592074592074,144.0,144.0,0.0069444444444444,2.6956521739130435,3.4215747755874317,1.0196610334774718,0.0
54755,675343.0,54755.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
82378,2026896.0,82378.0,4034725.0,5.0,3187.0,2817.0,0.0004116692676679,3187.0,3187.0,0.0003137747097583,1.1111111111111112,24.95579328319657,0.0,0.0
50989,667392.0,50989.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
81827,1254874.0,81827.0,4034725.0,3.0,659.0,643.0,0.0015981661447066,659.0,659.0,0.0015174506828528,1.0233281493001556,12.534170136270674,0.4779427067179943,0.0
924,3998093.0,83513.0,4034735.0,3.0,11.0,8.0,0.1727272727272727,11.0,11.0,0.0909090909090909,1.25,1.3674794331177342,1.223868881915848,1.0
68169,718804.0,68169.0,4034725.0,1.0,6.0,6.0,0.1666666666666666,6.0,6.0,0.1666666666666666,1.0,1.3416407864998738,5.540522967544619,0.0
70941,734394.0,70941.0,4034725.0,2.0,4.0,3.0,0.4166666666666667,4.0,4.0,0.25,1.3333333333333333,1.0540925533894598,1.4409334564364835,0.0
73249,748658.0,73249.0,4034725.0,2.0,7.0,6.0,0.1904761904761904,7.0,7.0,0.1428571428571428,1.1666666666666667,1.2856040517117926,1.0246281744283177,0.0
52079,669694.0,52079.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
60199,687273.0,60199.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
58313,682855.0,58313.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
