cnt,cascade_id
1,1348078
2,263319
3,114616
4,63458
5,39859
6,27609
7,20363
8,15365
9,11954
10,9533
11,7314
12,5953
13,4983
14,4264
15,3584
16,2900
17,2568
18,2177
19,1861
20,1602
21,1314
22,1145
23,962
24,791
25,656
26,555
27,454
28,386
29,296
30,230
31,206
32,159
33,120
34,118
35,63
36,62
37,37
38,33
39,14
40,23
41,16
42,14
43,10
44,5
45,1
46,4
48,2
50,6
51,1
52,2
53,1
55,2
56,2
57,2
59,2
61,4
62,1
66,2
67,1
68,2
70,1
71,2
73,2
76,1
81,2
87,1
91,1
93,1
97,1
99,1
100,1
101,1
113,1
119,1
121,1
124,1
131,1
134,1
146,1
148,1
167,1
170,1
171,2
207,1
263,1
