,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
28,0.6148368835449218,0.03629911687091467,0.06766557693481445,0.008552955391172743,gini,4,2,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2}",0.9422222222222222,0.96,0.9644444444444444,0.9577777777777777,0.9733333333333334,0.9595555555555555,0.010173798348675225,5,0.9234042553191489,0.9519650655021834,0.9563318777292577,0.9598214285714286,1.0,0.9583045254244038,0.02450682574180505,34,0.9627906976744186,0.9683257918552036,0.9728506787330317,0.9557522123893806,0.9493670886075949,0.9618172938519258,0.00844791651199519,1,0.9644444444444444,0.9688888888888889,0.9733333333333334,0.9555555555555556,0.9466666666666667,0.9617777777777778,0.009573626323794686,1,0.92,0.9511111111111111,0.9555555555555556,0.96,1.0,0.9573333333333334,0.0255468584234665,33,0.9539170506912442,0.9648331830477908,0.9693417493237151,0.9565987599645704,0.959079283887468,0.9607540053829577,0.005607205051437206,1,0.9422222222222223,0.96,0.9644444444444444,0.9577777777777778,0.9733333333333334,0.9595555555555556,0.010173798348675184,3,0.9257674418604651,0.9454298642533936,0.9518350930115635,0.9375221238938053,0.9493670886075949,0.9419843223253646,0.00944788978686106,1,0.9422222222222222,0.96,0.9644444444444445,0.9577777777777778,0.9733333333333333,0.9595555555555556,0.010173798348675201,3
65,0.8851378440856934,0.09764339393300196,0.06851873397827149,0.007489638620173819,entropy,4,3,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 3}",0.9533333333333334,0.9577777777777777,0.96,0.9622222222222222,0.9733333333333334,0.9613333333333334,0.006681465057054642,1,0.9473684210526315,0.9517543859649122,0.96,0.9684684684684685,1.0,0.9655182550972026,0.018692277545187905,1,0.9594594594594594,0.963963963963964,0.96,0.956140350877193,0.9493670886075949,0.9577861725816422,0.004887857019638236,14,0.96,0.9644444444444444,0.96,0.9555555555555556,0.9466666666666667,0.9573333333333333,0.006028737762778009,22,0.9466666666666667,0.9511111111111111,0.96,0.9688888888888889,1.0,0.9653333333333333,0.01893980066903335,1,0.9568733153638814,0.9613656783468104,0.96,0.9586631486367634,0.959079283887468,0.9591962852469846,0.0014863604453077778,3,0.9533333333333334,0.9577777777777778,0.96,0.9622222222222223,0.9733333333333334,0.9613333333333335,0.006681465057054634,1,0.934954954954955,0.9412812812812814,0.9416,0.9419493177387914,0.9493670886075949,0.9418305285165246,0.004570386780318466,2,0.9533333333333334,0.9577777777777777,0.96,0.9622222222222223,0.9733333333333333,0.9613333333333334,0.006681465057054605,1
34,0.6124617099761963,0.01909245369323883,0.0629817008972168,0.003243414402832155,gini,4,8,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 8}",0.9488888888888889,0.9577777777777777,0.96,0.96,0.9733333333333334,0.96,0.007825251938515134,2,0.9316239316239316,0.9517543859649122,0.9559471365638766,0.9641255605381166,1.0,0.9606902029381674,0.022379702672757736,15,0.9675925925925926,0.963963963963964,0.9641255605381166,0.9559471365638766,0.9493670886075949,0.960199268453229,0.006628222830694579,2,0.9688888888888889,0.9644444444444444,0.9644444444444444,0.9555555555555556,0.9466666666666667,0.96,0.007950463919999253,2,0.9288888888888889,0.9511111111111111,0.9555555555555556,0.9644444444444444,1.0,0.96,0.023179386329609416,14,0.9595959595959596,0.9613656783468104,0.9623992837958818,0.9576345984112974,0.959079283887468,0.9600149608074835,0.0016868083729419342,2,0.9488888888888889,0.9577777777777778,0.96,0.96,0.9733333333333334,0.96,0.007825251938515127,2,0.9343415637860082,0.9412812812812814,0.9434977578475336,0.9397356828193832,0.9493670886075949,0.9416446748683602,0.004902679420704214,3,0.9488888888888889,0.9577777777777777,0.9600000000000001,0.96,0.9733333333333333,0.96,0.007825251938515097,2
31,0.6667530059814453,0.050788414637207485,0.06638503074645996,0.006561664255348752,gini,4,5,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5}",0.9377777777777778,0.96,0.9644444444444444,0.96,0.9733333333333334,0.9591111111111111,0.011725249740687034,6,0.9156118143459916,0.96,0.9644444444444444,0.96,1.0,0.9600112517580872,0.026795758914664725,22,0.9624413145539906,0.96,0.9644444444444444,0.96,0.9493670886075949,0.9592505695212059,0.00521466542814188,3,0.9644444444444444,0.96,0.9644444444444444,0.96,0.9466666666666667,0.9591111111111111,0.0065319726474218085,3,0.9111111111111111,0.96,0.9644444444444444,0.96,1.0,0.9591111111111111,0.028305214805494507,23,0.9517177344475395,0.96,0.9644444444444444,0.96,0.959079283887468,0.9590482925558904,0.0041150453695004315,4,0.9377777777777778,0.96,0.9644444444444444,0.96,0.9733333333333334,0.9591111111111111,0.011725249740687034,6,0.9213354199269692,0.9416,0.9479308641975308,0.9416,0.9493670886075949,0.940366674546419,0.010034493052365227,4,0.9377777777777777,0.96,0.9644444444444444,0.96,0.9733333333333333,0.9591111111111111,0.011725249740687047,6
99,0.8327345848083496,0.07966919498446598,0.06665101051330566,0.007658341865613887,log_loss,4,1,"{'criterion': 'log_loss', 'max_depth': 4, 'min_samples_leaf': 1}",0.9488888888888889,0.9555555555555556,0.9622222222222222,0.96,0.9711111111111111,0.9595555555555556,0.007356864603220824,3,0.9316239316239316,0.9515418502202643,0.9642857142857143,0.9641255605381166,1.0,0.9623154113336053,0.02229494787010389,8,0.9675925925925926,0.9596412556053812,0.9601769911504425,0.9559471365638766,0.9453781512605042,0.9577472254345596,0.0072478504684379075,15,0.9688888888888889,0.96,0.96,0.9555555555555556,0.9422222222222222,0.9573333333333334,0.00870929686322909,14,0.9288888888888889,0.9511111111111111,0.9644444444444444,0.9644444444444444,1.0,0.9617777777777776,0.02311111111111111,9,0.9595959595959596,0.9579230080572964,0.9610274579273693,0.9576345984112974,0.9558198810535259,0.9584001810090899,0.0017778767693397395,9,0.9488888888888889,0.9555555555555555,0.9622222222222222,0.96,0.971111111111111,0.9595555555555556,0.007356864603220803,3,0.9343415637860082,0.9371699053313403,0.9438151425762046,0.9397356828193832,0.9453781512605042,0.9400880891546881,0.004087498627648032,5,0.9488888888888889,0.9555555555555555,0.9622222222222222,0.96,0.971111111111111,0.9595555555555556,0.007356864603220803,3
102,0.705487060546875,0.02085137708226577,0.07056746482849122,0.008909904624166833,log_loss,4,4,"{'criterion': 'log_loss', 'max_depth': 4, 'min_samples_leaf': 4}",0.9444444444444444,0.9577777777777777,0.9622222222222222,0.9577777777777777,0.9733333333333334,0.9591111111111111,0.009280272452364959,6,0.9273504273504274,0.9517543859649122,0.9642857142857143,0.9598214285714286,1.0,0.9606423912344966,0.02345344600359804,16,0.9629629629629629,0.963963963963964,0.9601769911504425,0.9557522123893806,0.9493670886075949,0.958444643814869,0.005357804133138385,9,0.9644444444444444,0.9644444444444444,0.96,0.9555555555555556,0.9466666666666667,0.9582222222222223,0.00665183535426478,8,0.9244444444444444,0.9511111111111111,0.9644444444444444,0.96,1.0,0.96,0.024343224778007395,14,0.9550045913682277,0.9613656783468104,0.9610274579273693,0.9565987599645704,0.959079283887468,0.9586151542988892,0.0024779837932038798,7,0.9444444444444444,0.9577777777777778,0.9622222222222222,0.9577777777777778,0.9733333333333334,0.9591111111111111,0.009280272452364952,6,0.9279835390946501,0.9412812812812814,0.9438151425762046,0.9375221238938053,0.9493670886075949,0.9399938350907073,0.00713406414658551,6,0.9444444444444444,0.9577777777777777,0.9622222222222222,0.9577777777777778,0.9733333333333333,0.9591111111111111,0.00928027245236492,6
33,0.6118472576141357,0.023959487868968603,0.06295642852783204,0.009600559907887541,gini,4,7,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 7}",0.94,0.9577777777777777,0.9622222222222222,0.96,0.9733333333333334,0.9586666666666666,0.010758860832809101,12,0.9230769230769231,0.9478260869565217,0.9642857142857143,0.96,1.0,0.9590377448638318,0.02500102174096486,28,0.9583333333333334,0.9681818181818181,0.9601769911504425,0.96,0.9493670886075949,0.9592118462546377,0.0059950667294457775,5,0.96,0.9688888888888889,0.96,0.96,0.9466666666666667,0.9591111111111111,0.007111111111111118,3,0.92,0.9466666666666667,0.9644444444444444,0.96,1.0,0.9582222222222223,0.026006646823693844,28,0.9504132231404959,0.9638009049773756,0.9610274579273693,0.96,0.959079283887468,0.9588641739865418,0.0045123398251707345,5,0.94,0.9577777777777778,0.9622222222222222,0.96,0.9733333333333334,0.9586666666666666,0.0107588608328091,11,0.9216666666666666,0.9432121212121212,0.9438151425762046,0.9416,0.9493670886075949,0.9399322038125174,0.009500142251951685,7,0.94,0.9577777777777778,0.9622222222222222,0.96,0.9733333333333333,0.9586666666666666,0.010758860832809069,11
103,0.7100440502166748,0.02636253569244654,0.06974520683288574,0.007314595411887232,log_loss,4,5,"{'criterion': 'log_loss', 'max_depth': 4, 'min_samples_leaf': 5}",0.9422222222222222,0.9577777777777777,0.96,0.9577777777777777,0.9755555555555555,0.9586666666666666,0.010573668669662504,12,0.9234042553191489,0.9517543859649122,0.96,0.9598214285714286,1.0,0.958996013971098,0.02450400223467842,29,0.9627906976744186,0.963963963963964,0.96,0.9557522123893806,0.9533898305084746,0.9591793409072477,0.004046520415780684,6,0.9644444444444444,0.9644444444444444,0.96,0.9555555555555556,0.9511111111111111,0.9591111111111111,0.005183068350973584,3,0.92,0.9511111111111111,0.96,0.96,1.0,0.9582222222222223,0.0255468584234665,28,0.9539170506912442,0.9613656783468104,0.96,0.9565987599645704,0.962360992301112,0.9588484962607474,0.003142618772832464,6,0.9422222222222223,0.9577777777777778,0.96,0.9577777777777778,0.9755555555555555,0.9586666666666668,0.010573668669662467,9,0.9257674418604651,0.9412812812812814,0.9416,0.9375221238938053,0.9533898305084746,0.9399121355088053,0.008856141632971616,8,0.9422222222222222,0.9577777777777777,0.96,0.9577777777777778,0.9755555555555556,0.9586666666666666,0.010573668669662537,11
100,0.7211686134338379,0.07383169646195857,0.06755566596984863,0.003981578487104692,log_loss,4,2,"{'criterion': 'log_loss', 'max_depth': 4, 'min_samples_leaf': 2}",0.9466666666666667,0.96,0.96,0.9577777777777777,0.9733333333333334,0.9595555555555556,0.008479459568150648,3,0.935064935064935,0.96,0.96,0.963963963963964,1.0,0.9638057798057797,0.02080889556883356,2,0.958904109589041,0.96,0.96,0.9517543859649122,0.9493670886075949,0.9560051168323096,0.00452668694896669,31,0.96,0.96,0.96,0.9511111111111111,0.9466666666666667,0.9555555555555555,0.0056218269514104365,31,0.9333333333333333,0.96,0.96,0.9644444444444444,1.0,0.9635555555555555,0.02129626409015278,2,0.9536784741144414,0.96,0.96,0.9542656112576957,0.959079283887468,0.9574046738519211,0.002828923217587106,20,0.9466666666666667,0.96,0.96,0.9577777777777778,0.9733333333333334,0.9595555555555556,0.008479459568150645,3,0.928310502283105,0.9416,0.9416,0.9356920077972709,0.9493670886075949,0.9393139197375941,0.007010163650618841,9,0.9466666666666667,0.96,0.96,0.9577777777777778,0.9733333333333333,0.9595555555555556,0.008479459568150608,3
101,0.7893811225891113,0.06823525985611288,0.06858124732971191,0.008691450485355258,log_loss,4,3,"{'criterion': 'log_loss', 'max_depth': 4, 'min_samples_leaf': 3}",0.94,0.9644444444444444,0.96,0.9577777777777777,0.9711111111111111,0.9586666666666668,0.010385174618264848,9,0.9194915254237288,0.960352422907489,0.96,0.963963963963964,1.0,0.9607615824590363,0.02551028688784263,13,0.9626168224299065,0.968609865470852,0.96,0.9517543859649122,0.9453781512605042,0.9576718450252351,0.008193468453586048,16,0.9644444444444444,0.9688888888888889,0.96,0.9511111111111111,0.9422222222222222,0.9573333333333334,0.009573626323794686,14,0.9155555555555556,0.96,0.96,0.9644444444444444,1.0,0.96,0.026814405562663738,14,0.9528214616096207,0.9668755595344674,0.96,0.9542656112576957,0.9558198810535259,0.957956502691062,0.005065213415652038,12,0.94,0.9644444444444444,0.96,0.9577777777777778,0.971111111111111,0.9586666666666666,0.010385174618264818,11,0.9235514018691589,0.9498654708520179,0.9416,0.9356920077972709,0.9453781512605042,0.9392174063557904,0.009108950975186728,10,0.9400000000000001,0.9644444444444444,0.96,0.9577777777777778,0.971111111111111,0.9586666666666666,0.010385174618264778,11
