param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,rank_test_average_precision_score
dart,0.01,8,12,1.0,1.0,0.75,1
dart,0.01,8,12,1.0,1.0,0.7,1
gbdt,0.005,16,12,1.0,1.0,0.7,3
gbdt,0.005,16,12,1.0,1.0,0.75,3
dart,0.01,8,12,1.0,1.2,0.75,5
dart,0.01,8,12,1.0,1.2,0.7,5
gbdt,0.01,8,12,1.0,1.0,0.75,7
gbdt,0.01,8,12,1.0,1.0,0.7,7
dart,0.005,16,12,1.2,1.4,0.75,9
dart,0.005,16,12,1.2,1.4,0.7,9
dart,0.005,16,12,1.0,1.4,0.75,9
dart,0.005,16,12,1.2,1.2,0.7,9
dart,0.005,16,12,1.2,1.2,0.75,9
dart,0.005,16,12,1.0,1.4,0.7,9
gbdt,0.01,8,12,1.2,1.0,0.7,15
gbdt,0.01,8,12,1.2,1.0,0.75,15
dart,0.01,16,12,1.2,1.0,0.7,17
dart,0.01,16,12,1.2,1.0,0.75,17
gbdt,0.005,8,12,1.2,1.2,0.7,19
gbdt,0.005,8,12,1.2,1.2,0.75,19
gbdt,0.01,8,12,1.2,1.4,0.75,21
gbdt,0.01,8,12,1.2,1.4,0.7,21
gbdt,0.01,8,12,1.2,1.2,0.75,21
gbdt,0.01,8,12,1.0,1.4,0.75,21
gbdt,0.01,8,12,1.0,1.4,0.7,21
gbdt,0.01,8,12,1.2,1.2,0.7,21
gbdt,0.001,16,12,1.0,1.0,0.75,27
dart,0.001,16,12,1.0,1.0,0.7,27
dart,0.001,16,12,1.0,1.0,0.75,27
gbdt,0.001,16,12,1.0,1.0,0.7,27
dart,0.001,24,12,1.0,1.0,0.75,27
dart,0.001,24,12,1.0,1.0,0.7,27
dart,0.01,24,12,1.2,1.0,0.7,33
dart,0.01,24,12,1.2,1.0,0.75,33
gbdt,0.01,8,12,1.0,1.2,0.75,35
gbdt,0.01,8,12,1.0,1.2,0.7,35
dart,0.001,24,12,1.2,1.0,0.75,37
dart,0.001,16,12,1.0,1.4,0.75,37
dart,0.001,24,12,1.0,1.2,0.75,37
dart,0.001,24,12,1.2,1.0,0.7,37
dart,0.001,16,12,1.2,1.0,0.75,37
dart,0.001,16,12,1.2,1.2,0.7,37
dart,0.001,16,12,1.0,1.2,0.7,37
dart,0.001,16,12,1.0,1.2,0.75,37
dart,0.001,16,12,1.2,1.0,0.7,37
dart,0.001,16,12,1.2,1.4,0.75,37
dart,0.001,16,12,1.2,1.4,0.7,37
dart,0.001,16,12,1.2,1.2,0.75,37
dart,0.001,16,12,1.0,1.4,0.7,37
dart,0.001,24,12,1.0,1.2,0.7,37
gbdt,0.005,16,12,1.2,1.0,0.7,51
gbdt,0.005,16,12,1.0,1.2,0.75,51
gbdt,0.005,16,12,1.0,1.2,0.7,51
gbdt,0.005,16,12,1.2,1.0,0.75,51
dart,0.005,8,12,1.2,1.4,0.75,55
dart,0.005,8,12,1.2,1.4,0.7,55
